Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020
"Chatham County, NC",US,35.7211,-79.1781,3,2,3,2,2,3,3,2,3,3,3,2,2,2,3,3,3,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,4,5,5,3,4,4,4,3,4,4,5,3,3,4,5,4,4,5,4,3,4,5,4,5,6,5,4
"Delaware County, PA",US,39.9078,-75.3879,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,2,4,4,3,4,5,3,4,5,5,4
"Douglas County, NE",US,41.3148,-96.1951,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,2,3,2,3,3,3,4,3,2,3,3,3,4,3,3,4,4,3,4,4,5,3,3
"Fayette County, KY",US,38.0606,-84.4803,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,4,4,3,4,4,3,3,5,5,4,3
"Marion County, IN",US,39.8362,-86.1752,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,2,3,3,3,3,3,4,2,3,3,4,3,3,2,3,2,4,4,2,4,4,4,2,5,4,3,3
"Middlesex County, MA",US,42.4672,-71.2874,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,4,4,3,4,4,4
"Nassau County, NY",US,40.6546,-73.5594,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,2,3,2,3,3,4,4,3,3,3,3,2,3,4,3,4,4,3,3,4,5,4
"Ramsey County, MN",US,44.9964,-93.0616,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,3,2,2,3,2,3,4,4,3,3
"Washoe County, NV",US,40.5608,-119.6035,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,5,4,5,4,4,3,5,5,4,5,3,4,3,3,4
"Wayne County, PA",US,41.6739,-75.2479,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,3,3,3,3,3,4,3,3,2,2,2,3,4,3,4,4,3,3,4,4,3
"Yolo County, CA",US,38.7646,-121.9018,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,3,2,3,2,3,3,4,3,3,3,4,3,3,3,4,4,4,4,4,3,3,4,3,5,5,4,4,4,5,3,5,5,5,5,4,3,3,3,4
"Santa Clara County, CA",US,37.3541,-121.9552,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,3,2,3,3,3,3,3,3,4,4,4,3,3,4,3,4,3,4,4,4,4,4,3,3,4,4,5,5,4,4,4,5,3,5,5,4,4,4,3,3,3,3
"Clark County, NV",US,36.0796,-115.094,2,2,2,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,4,5,5,6,5,5,4,4,5,5,6,5,6,5,5,5,4,4
"Fort Bend County, TX",US,29.5693,-95.8143,4,3,3,4,4,4,4,4,4,3,3,4,4,3,3,3,4,4,3,5,5,5,4,3,5,4,4,4,4,4,3,4,5,6,4,4,4,4,5,5,4,4,4,4,5,6,5,4,4,5,4,4,7,7,5,5,7,6,7,7,6,4,6,6,5,7,8,5,7,6,6
"Grant County, WA",US,47.1981,-119.3732,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,2,2,3,3
"Santa Rosa County, FL",US,30.769,-86.9824,4,4,3,3,4,4,4,4,4,3,3,3,4,3,3,3,4,4,3,3,4,4,4,4,4,5,3,3,5,3,5,3,3,5,5,5,4,4,5,4,6,4,4,4,4,6,6,4,4,4,6,4,6,7,6,4,4,5,7,7,6,6,6,5,5,4,7,7,7,7,6
"Williamson County, TN",US,35.9179,-86.8622,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2,2,3,3,3,2,2,2,2,3,4,3,3,3,3,3,4,3,3,3,3,4,4,3,4,3,4,3,5,4,4,3,4,3,4,3,5,5,3,5,4,4,5,6,6,4,4
"New York County, NY",US,40.7128,-74.006,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,4,4,4,4,3,3,4,5,3
"Montgomery County, MD",US,39.1547,-77.2405,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,2,3,3,3,3,4,3,3,4,3,3,3,4,4,3,3,3,4,3,3,4,4,3,4,4,3,4,5,5,4
"Suffolk County, MA",US,42.3601,-71.0589,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,4,3
"Denver County, CO",US,39.7392,-104.9903,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,3,2,3,3,2,2,3,3,3,3,4,3,4,4,4,3,3,2,4,4,5,3,4,4,5,5,5,5,5,6,4,4
"Summit County, CO",US,39.5912,-106.064,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,2,3,3,3,3,2,2,2,2,4,3,3,3,2,2,4,4,3,3,4,4,5,5,5,3,3,2,4,4,5,5,4,4,5,6,6,5,6,6,4,3
"Bergen County, NJ",US,40.9263,-74.077,1,1,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,4,3,4,4,3,3,4,5,4
"Harris County, TX",US,29.7752,-95.3103,4,3,3,4,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,5,5,5,3,3,5,4,4,4,3,3,3,4,5,5,4,4,4,4,5,5,4,4,4,4,5,6,5,4,4,5,4,4,7,7,4,5,7,6,7,7,6,4,5,6,5,7,8,5,8,6,6
"San Francisco County, CA",US,37.7749,-122.4194,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,3,2,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,3,3,4,4,5,5,5,4,4,5,3,5,5,5,4,4,4,3,3,3
"Contra Costa County, CA",US,37.8534,-121.9018,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,3,3,4,4,5,5,5,5,4,5,3,5,5,5,4,4,3,3,3,3
"Orange County, CA",US,33.7879,-117.8531,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,4,4,3,3,4,4,3,4,3,4,4,4,4,4,4,4,3,3,3,5,5,5,3,4,4,4,4,4,5,5,5,4,5,6,5,4,4,5,6,6,4,5,5,4,5,6,6,5,5,5,5,4,4
"Norfolk County, MA",US,42.1767,-71.1449,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,3,3,4,3,3,3,3,2,3,3,3,3,4,3,3,4,4,4
"Maricopa County, AZ",US,33.2918,-112.4291,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,5,5,5,4,4,3,4,4,5,5,5,5,5,6,6,5,4,5,6,6,6,6,5,6,6,4,6,6,6,6,7,6,6,4
"Wake County, NC",US,35.8032,-78.5661,3,2,3,2,2,3,3,2,3,3,3,2,2,2,2,3,3,3,2,3,3,2,3,2,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,4,3,3,3,4,4,4,3,4,4,4,3,4,4,5,3,3,3,5,4,4,5,5,3,4,5,4,5,6,6,4
"Westchester County, NY",US,41.122,-73.7949,1,1,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,2,3,4,3,4,4,3,3,4,5,4
"Grafton County, NH",US,43.9088,-71.826,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,2,2,1,2,3,3,2,3,3,3,4,4,3
"Hillsborough, FL",US,27.9904,-82.3018,5,5,5,4,4,5,5,5,4,4,5,4,4,5,4,5,5,5,5,4,5,5,5,5,4,5,5,4,5,5,4,5,4,6,6,6,5,5,5,6,6,6,6,5,6,5,6,6,6,6,6,6,5,7,7,7,7,6,8,8,7,7,7,7,8,8,8,8,8,7,8
