Province/State,Country/Region,Lat,Long,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20
Michigan,US,43.3266,-84.5361,6,5,5,1,3,5,6,4,4,5,3,6,2,2,3,2,6,2,7,5,2,3,5,2,4,2,4,2,1,1,1,1,4,5,2,4,2,3,3,2,4,2,4,4,3,2,6,4,3,6,4,2,6,5,5,2,5,5,7,6,4,4,3,3,4,3,4,3,5,6,4,1,3,8,2,3,2,4,2
Mississippi,US,32.7416,-89.6787,2,1,3,1,3,1,2,2,1,3,4,6,1,1,2,2,3,3,3,4,3,2,2,2,2,1,1,1,1,2,1,1,2,2,3,3,3,3,2,1,4,4,3,3,4,2,2,1,2,3,3,4,3,1,1,3,1,3,2,3,1,3,3,2,3,3,3,2,2,4,2,2,3,2,2,2,1,1,3
Montana,US,46.9219,-110.4544,8,7,6,7,8,5,7,5,6,2,4,5,3,2,1,4,5,4,3,4,4,4,6,4,4,5,2,4,4,4,5,8,11,3,1,4,5,3,2,5,4,4,7,2,4,6,6,4,3,2,2,5,6,6,3,5,2,5,5,5,6,4,8,8,8,4,4,3,2,2,7,8,2,4,2,1,1,3,1
New Mexico,US,34.8405,-106.2485,2,5,4,5,4,3,5,2,3,3,4,4,4,5,3,2,3,6,2,1,1,2,6,4,2,5,3,5,4,1,4,3,3,3,7,3,4,8,7,4,4,2,5,4,3,3,4,5,4,3,2,4,2,2,6,7,5,3,5,2,4,4,3,2,2,3,3,3,4,4,4,3,3,6,3,3,3,4,5
North Dakota,US,47.5289,-99.78399999999999,4,4,4,4,5,8,6,4,6,5,4,5,5,2,5,5,4,6,11,4,5,6,2,2,2,4,3,1,2,1,2,4,6,7,3,2,5,4,2,2,4,6,6,6,3,7,5,4,3,5,3,6,5,4,6,2,2,2,2,3,5,9,6,4,5,6,8,3,5,2,2,5,7,5,5,4,6,4,4
South Dakota,US,44.2998,-99.4388,3,3,3,5,3,7,3,3,7,3,3,4,3,3,4,5,6,9,9,4,2,5,1,4,1,2,4,1,2,1,2,3,3,4,4,2,3,3,3,4,4,4,3,6,2,5,3,3,4,3,1,3,3,2,3,4,5,2,2,2,3,5,4,4,4,7,6,4,5,4,2,3,7,3,5,6,3,4,2
West Virginia,US,38.4912,-80.9545,4,3,3,2,3,3,2,2,3,3,4,6,3,1,2,2,4,2,5,4,2,1,0,1,4,2,3,2,1,1,0,1,1,4,3,2,2,3,4,2,2,2,1,1,3,2,2,2,2,3,1,1,1,1,2,2,2,2,4,3,3,2,3,3,2,1,3,2,2,2,4,1,2,4,1,1,2,1,3
Wyoming,US,42.756,-107.3025,7,7,4,5,8,4,7,9,7,5,4,8,7,7,7,6,6,7,5,4,6,6,4,3,5,4,4,5,5,3,6,6,9,8,11,3,5,5,2,7,4,3,6,4,4,8,5,8,3,3,2,6,7,6,4,7,4,5,4,5,7,4,6,6,8,4,6,5,5,6,6,10,3,4,5,4,2,3,4
Hubei,China,30.9756,112.2707,1,3,2,1,1,6,3,2,4,4,1,2,1,2,5,4,1,0,1,1,1,3,3,7,6,5,2,1,1,1,1,1,2,1,1,3,7,3,1,1,3,2,2,2,6,8,1,2,2,1,1,3,1,3,4,3,5,4,3,1,3,3,2,1,2,2,1,2,7,2,3,2,5,1,1,1,2,2,3
,Iran,32.0,53.0,1,1,1,2,2,1,1,3,6,4,6,2,3,6,1,2,2,6,3,2,2,4,6,3,3,3,2,1,3,2,3,7,4,2,4,2,2,4,9,8,6,7,2,2,2,2,1,5,2,1,8,1,3,1,4,7,9,2,2,2,4,6,3,3,1,2,2,6,6,2,1,1,2,8,5,2,4,4,4
