Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,1/1/20,1/2/20,1/3/20,1/4/20,1/5/20,1/6/20,1/7/20,1/8/20,1/9/20,1/10/20,1/11/20,1/12/20,1/13/20,1/14/20,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20
,Algeria,28.0339,1.6596,0,0,2,6,5,4,1,1,1,2,3,2,4,5,3,0,2,2,1,1,0,12,7,2,1,1,4,1,1,3,4,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,0,1,0,1,2,4,2,4,3,0,5,1,1,3,2,14,3,0,1,3,5,2,0,1,0
,Croatia,45.1,15.2,1,5,3,47,75,23,81,73,9,15,40,40,26,83,34,2,3,4,12,65,41,19,11,85,7,3,9,56,28,20,4,4,3,2,24,82,43,64,3,86,92,74,77,5,83,69,8,6,8,4,11,5,1,21,16,0,4,3,0,4,12,7,3,10,8,7,6,46,73,62,5
,Switzerland,46.8182,8.2275,1,4,4,7,21,31,74,86,60,69,69,94,95,88,65,1,9,7,6,77,91,47,66,81,6,9,78,56,75,17,56,7,13,5,39,77,77,48,30,66,61,69,19,56,63,59,5,92,96,62,10,20,31,61,14,0,15,14,2,41,16,13,4,0,2,6,48,78,50,6,5
,Austria,47.5162,14.5501,0,3,2,6,21,35,77,40,37,56,18,93,97,81,66,4,5,5,4,84,73,39,20,75,15,8,15,60,56,24,35,5,31,93,60,82,24,64,6,51,63,82,32,5,81,52,25,56,57,75,8,10,2,77,63,2,20,5,3,16,51,5,2,0,1,5,7,76,53,34,3
,Israel,31.0,35.0,49,20,56,4,2,2,4,13,5,10,5,13,6,5,5,3,42,26,60,25,14,4,5,4,2,19,17,7,54,45,10,20,5,34,76,8,2,1,21,38,3,5,1,1,30,6,3,0,3,5,5,13,11,54,28,0,7,7,34,37,9,6,20,0,3,6,41,86,19,25,64
,Pakistan,30.3753,69.3451,6,1,3,7,12,63,3,2,1,1,1,2,31,61,4,1,3,1,1,2,9,4,9,1,1,2,3,7,4,4,4,5,5,3,2,2,2,42,1,5,3,10,57,82,59,1,2,5,57,98,4,6,1,9,85,96,14,3,1,2,48,80,77,0,3,2,1,1,0,6,12
,Brazil,-14.235,-51.9253,81,94,91,94,94,90,96,94,77,31,56,72,37,64,68,74,81,98,95,90,75,22,86,65,54,84,67,44,86,85,74,93,65,56,75,62,77,64,83,96,78,94,80,87,96,90,75,78,86,80,93,78,89,75,82,89,89,60,78,82,27,92,64,42,40,63,63,57,42,44,71
,Georgia,42.3154,43.3569,61,77,60,21,9,10,1,22,23,89,65,55,81,94,31,7,89,60,17,8,4,67,93,78,4,7,14,10,5,19,11,11,86,28,92,13,1,47,24,91,33,4,1,1,0,1,1,2,0,5,90,93,18,11,6,0,7,14,77,77,65,87,71,3,18,7,7,12,0,0,50
,Greece,39.0742,21.8243,1,2,3,7,13,90,20,57,50,7,8,6,4,19,90,49,4,4,3,7,15,13,14,87,95,28,6,7,6,94,25,45,4,1,1,12,55,56,5,2,5,5,65,19,7,15,69,69,23,10,6,11,1,5,70,28,7,1,0,3,4,56,51,1,3,6,5,4,0,6,4
,North Macedonia,41.6086,21.7453,1,2,2,4,26,72,12,40,61,6,6,3,5,45,92,13,6,5,7,9,6,21,7,91,33,5,6,6,5,67,7,7,3,2,3,5,34,61,2,2,8,5,90,36,4,89,93,49,76,7,6,11,1,5,30,1,7,1,0,4,26,83,10,1,2,3,3,4,4,0,5
,Norway,60.472,8.4689,3,12,9,8,20,54,26,31,18,21,31,7,23,19,22,5,4,23,49,27,5,13,8,9,34,77,55,33,3,56,56,65,20,4,27,11,26,7,38,50,41,46,44,3,3,9,52,24,50,31,8,14,31,16,22,17,47,66,14,4,50,41,6,38,38,17,46,33,9,23,36
,Romania,45.9432,24.9668,2,34,2,3,11,25,28,67,38,49,45,46,93,81,86,11,59,2,3,46,57,39,27,7,45,3,5,9,37,32,33,32,5,77,3,12,86,63,56,3,17,6,48,81,2,23,84,63,24,19,45,18,0,15,64,16,9,1,0,5,5,9,3,1,1,2,4,2,5,3,7
,Estonia,58.5953,25.0136,20,17,47,28,50,63,70,56,75,62,84,92,54,10,27,50,31,33,36,93,84,64,77,17,67,87,93,52,89,75,84,92,90,16,46,93,63,44,42,73,23,24,92,65,39,35,19,16,75,98,14,17,78,46,19,64,30,66,5,23,15,92,19,82,98,92,12,28,42,8,45
,Netherlands,52.1326,5.2913,27,17,13,9,31,93,93,57,33,27,66,83,90,83,12,8,7,61,92,94,70,37,97,21,21,95,84,84,93,95,35,37,97,92,74,94,95,79,87,62,91,50,56,95,97,9,83,57,100,95,18,24,95,62,32,16,45,63,100,91,8,42,33,98,86,7,56,48,20,6,13
