Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20
Diamond Princess cruise ship,Others,35.4437,139.638,60,60,65,66,68,74,85,85,85,85,74,64,64,64,64,62,62,59,54,54,48,48,48,54,54,56,56,54,48,56,56,56,41,41,56,59,56,45,45,45,45,45,56,63,56,63,63
"San Diego County, CA",US,32.7157,-117.1611,46,46,42,42,46,56,56,56,46,42,40,28,34,34,28,23,17,17,17,17,17,15,15,12,12,12,16,16,16,17,20,33,34,34,34,33,33,34,37,39,45,46,46,45,46,47,47
"San Antonio, TX",US,29.4241,-98.4936,63,79,79,63,63,63,63,45,45,45,45,30,28,30,45,45,30,30,45,45,52,53,56,56,53,54,56,62,63,67,67,67,67,71,71,67,63,54,54,54,67,67,72,56,31,31,38
,Egypt,26.0,30.0,17,17,13,8,7,7,7,7,6,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,0
,Iran,32.0,53.0,30,32,32,32,32,32,11,11,20,9,5,5,5,5,5,0,0,0,0,0,0,1,0,0,1,1,1,3,7,10,10,16,16,19,23,48,48,48,48,23,19,15,10,9,6,9,9
"Omaha, NE (From Diamond Princess)",US,41.2545,-95.9758,42,46,47,52,52,56,56,56,76,84,95,84,84,84,84,84,76,76,67,64,64,52,52,48,43,21,21,48,21,21,18,18,15,15,15,18,24,24,26,26,32,32,26,26,24,24,24
"Travis, CA (From Diamond Princess)",US,38.2721,-121.9399,43,43,42,40,42,42,42,42,42,42,41,40,40,38,33,21,21,18,16,13,8,4,3,3,3,3,3,3,4,5,5,8,8,8,8,8,8,8,8,8,8,8,7,6,7,7,7
From Diamond Princess,Australia,35.4437,139.638,60,60,65,66,68,74,85,85,85,85,74,64,64,64,64,62,62,59,54,54,48,48,48,54,54,56,56,54,48,56,56,56,41,41,56,59,56,45,45,45,45,45,56,63,56,63,63
"Lackland, TX (From Diamond Princess)",US,29.3829,-98.6134,60,76,76,60,60,60,60,43,42,42,42,30,23,30,42,42,30,30,42,42,49,54,56,56,54,53,54,61,62,65,65,65,65,66,66,65,62,53,53,53,57,57,57,53,28,28,31
,Lebanon,33.8547,35.8623,76,76,75,75,75,64,64,64,64,64,64,63,63,60,60,60,60,60,64,66,66,66,66,66,66,68,68,66,68,68,68,68,66,65,62,62,61,60,56,56,52,52,52,52,52,48,44
"Humboldt County, CA",US,40.745,-123.8695,79,81,81,81,81,81,81,81,81,81,75,76,75,75,75,74,71,67,59,50,47,42,37,37,37,37,37,37,37,37,37,37,35,35,35,35,35,35,35,35,22,22,18,18,22,22,32
"Sacramento County, CA",US,38.4747,-121.3542,57,62,62,62,62,62,62,62,62,62,56,55,53,52,50,44,32,30,28,26,19,9,9,8,8,8,8,8,9,10,10,10,10,16,16,16,16,16,17,17,17,16,16,10,15,15,15
,Iraq,33.0,44.0,47,47,47,47,47,47,47,55,55,47,40,40,34,34,28,28,10,10,10,24,28,28,28,28,28,28,28,28,35,37,37,38,38,38,38,37,37,38,38,37,26,26,23,13,13,13,13
