Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020
"Williamson County, TN",US,35.9179,-86.8622,9,10,11,14,6,12,12,11,13,16,19,19,10,13,16,20,10,7,13,3,-1,1,7,7,9,5,9,13,8,9,9,11,9,19,20,17,13,5,3,10,16,13,8,15,6,0,11,14,18,14,11,5,5,12,13,11,13,6,7,8,9,19,15,18,18,18,10,12,19,18
"New York County, NY",US,40.7128,-74.006,6,4,9,8,10,6,7,6,6,1,11,18,19,7,7,11,10,0,1,6,1,1,5,7,11,10,8,7,6,5,3,6,6,6,13,13,6,5,12,5,7,8,9,7,6,1,0,7,10,9,9,2,2,10,12,15,9,8,5,5,2,8,13,13,13,11,7,9,14,21
"Montgomery County, MD",US,39.1547,-77.2405,11,9,10,12,13,5,10,5,6,3,12,20,17,11,7,14,10,2,1,4,1,2,4,6,9,9,8,9,7,7,5,7,8,11,19,19,5,7,13,6,9,7,12,9,12,1,1,10,12,15,11,5,3,12,14,16,10,10,4,6,2,10,18,17,17,13,10,10,17,23
"Suffolk County, MA",US,42.3601,-71.0589,5,5,8,10,8,3,2,5,6,0,10,20,21,5,5,9,7,-5,-5,6,-2,-3,2,8,7,6,9,8,4,4,0,7,4,5,8,7,4,4,9,1,1,7,5,7,4,0,-1,6,7,4,7,1,0,7,12,16,10,8,11,3,2,1,12,15,10,10,6,6,12,23
"Denver County, CO",US,39.7392,-104.9903,9,11,8,10,17,6,6,15,17,8,1,6,7,7,14,9,3,12,7,9,11,10,11,6,14,14,13,6,10,7,5,12,19,23,-2,-6,0,5,-1,8,-1,0,3,2,0,14,7,11,5,3,-3,3,14,16,7,4,-1,7,11,17,16,5,12,16,18,14,21,21,21,16
"Summit County, CO",US,39.5912,-106.064,-3,-2,-4,-3,5,1,-5,1,4,-3,-8,-2,-6,-6,2,2,4,-2,-4,-1,4,1,-1,-3,1,0,3,0,-3,-2,-5,-3,3,11,2,-11,-13,-5,-2,4,-3,-3,-4,-6,-6,3,1,0,-3,-3,0,0,4,6,0,-4,-11,-5,-1,3,5,2,-1,1,5,5,9,8,8,4
,Bhutan,27.5142,90.4336,10,9,7,6,4,12,11,10,9,11,13,16,14,14,14,14,11,12,9,10,11,11,7,10,11,8,7,7,11,8,9,10,9,8,8,6,8,10,10,9,12,12,15,16,10,12,14,12,14,10,11,14,9,11,9,11,7,12,15,15,13,11,10,8,11,10,11,14,15,13
,Cameroon,3.848,11.5021,32,32,32,32,33,32,33,33,33,31,29,31,33,34,32,33,32,32,31,33,33,33,33,32,33,33,33,34,33,32,32,33,34,30,31,28,29,33,35,32,33,35,34,34,34,35,34,31,31,34,35,35,36,35,35,36,33,34,34,35,32,31,33,30,32,31,29,32,33,32
,Colombia,4.5709,-74.2973,17,18,19,20,20,20,19,21,21,22,21,21,21,22,21,21,22,22,22,22,20,17,18,18,18,19,17,18,18,18,20,21,21,20,22,22,22,22,22,18,19,22,22,23,22,20,21,22,22,23,22,20,19,18,17,18,18,16,19,19,19,19,19,19,20,22,20,20,18,20
,Costa Rica,9.7489,-83.7534,22,23,22,23,24,23,23,21,20,21,20,21,21,19,19,21,23,21,20,20,19,20,20,21,21,21,21,22,23,21,23,23,23,20,20,23,22,24,24,21,20,23,21,21,22,20,21,19,18,20,21,21,20,22,24,25,24,25,25,21,21,24,25,23,25,25,22,21,21,22
,Peru,-9.19,-75.0152,32,29,29,31,31,31,33,29,33,34,34,33,34,32,31,27,34,33,27,32,33,34,30,27,30,33,35,37,33,26,33,32,32,34,30,31,32,31,28,34,29,27,29,32,33,29,30,31,35,33,32,34,31,24,31,33,33,30,28,31,32,26,36,35,30,34,30,35,30,31
,Serbia,44.0165,21.0059,1,3,3,4,1,0,0,1,2,7,5,3,3,7,8,7,5,4,1,2,2,5,3,6,10,11,5,10,9,7,13,16,14,14,15,2,3,3,7,11,12,10,9,11,7,10,12,16,12,11,6,10,9,14,12,18,19,6,5,10,15,20,19,8,10,13,13,5,8,6
,Slovakia,48.669,19.699,1,3,1,0,-2,-1,-1,0,0,1,1,2,1,0,1,3,2,0,0,1,1,1,0,0,1,1,3,-1,-1,0,5,7,3,3,2,0,0,2,1,1,2,1,0,0,2,2,4,5,4,2,2,1,2,4,2,6,3,2,1,1,3,4,3,0,3,0,3,4,5,6
,Togo,8.6195,0.8248,34,32,31,33,34,34,34,35,36,36,33,33,36,34,36,36,35,34,34,34,35,35,35,34,34,35,35,35,37,36,36,35,35,35,35,35,35,36,37,37,36,36,35,35,36,37,37,37,38,37,37,37,38,38,38,37,38,38,37,40,38,35,35,35,36,35,36,36,34,35
"Chatham County, NC",US,35.7211,-79.1781,15,13,13,15,18,12,15,11,14,12,18,22,21,20,21,20,17,8,9,12,4,4,7,8,17,14,12,11,12,11,11,6,8,17,23,21,18,20,13,8,13,17,22,14,20,12,7,14,16,16,10,7,4,12,17,11,18,19,10,12,9,15,20,17,17,13,14,13,17,21
"Delaware County, PA",US,39.9078,-75.3879,8,5,8,9,12,5,9,7,4,1,12,19,17,9,7,12,9,0,0,5,0,1,4,7,12,10,8,7,6,6,3,8,7,5,15,17,6,6,14,5,8,6,10,8,8,1,0,9,11,15,10,3,2,10,14,16,9,10,5,5,1,7,17,14,14,12,6,8,15,21
"Douglas County, NE",US,41.3148,-96.1951,2,6,4,4,5,7,6,7,2,7,-2,-5,-3,1,0,-1,-9,0,-7,-12,-12,-4,1,0,0,0,3,0,-1,0,1,1,7,11,1,-2,0,2,-3,2,1,5,5,6,-9,-1,8,11,9,5,-4,0,9,13,15,9,5,3,5,8,17,14,10,14,16,10,13,20,22,3
"Fayette County, KY",US,38.0606,-84.4803,4,9,10,12,6,8,8,8,7,14,18,21,8,9,13,17,7,3,10,-3,-2,0,4,9,9,3,7,8,3,3,7,5,6,15,17,13,4,4,0,4,9,10,5,4,4,-2,7,9,13,11,7,4,3,9,12,7,11,6,3,5,4,17,13,14,17,16,4,9,18,19
"Marion County, IN",US,39.8362,-86.1752,0,8,11,9,0,8,6,7,0,12,13,16,0,5,9,9,0,0,7,-8,0,0,0,6,5,1,0,0,0,0,2,4,5,16,16,13,1,0,1,1,0,1,3,3,0,-7,5,7,8,7,0,0,0,9,12,6,4,0,0,0,1,13,11,12,12,14,1,9,17,17
"Middlesex County, MA",US,42.4672,-71.2874,2,4,7,9,6,2,2,4,5,0,9,20,22,2,5,8,6,-5,-5,6,-1,-2,2,7,8,6,9,7,4,4,1,7,4,5,7,8,4,3,3,0,0,7,4,6,2,-1,-1,5,7,3,6,0,0,7,12,17,13,10,10,3,2,1,13,18,10,11,10,7,13,23
"Nassau County, NY",US,40.6546,-73.5594,7,4,8,8,9,5,7,7,6,0,10,14,17,8,7,10,9,-1,2,6,0,0,2,7,10,9,8,6,6,4,2,6,5,6,10,10,5,5,11,5,7,8,7,7,6,1,0,6,9,8,8,2,0,8,10,11,9,8,6,5,2,6,10,11,12,9,8,7,11,16
"Ramsey County, MN",US,44.9964,-93.0616,-4,0,2,0,0,2,2,-2,-12,1,-6,-9,-6,-2,0,-5,-15,-6,-3,-10,-6,-7,2,0,0,0,-2,-2,-6,-5,-3,0,2,5,0,-5,-1,0,-1,-6,-3,-1,-1,1,-17,-10,2,-5,1,-5,-10,-9,2,5,7,4,3,-1,-4,-3,2,9,2,5,4,3,4,10,14,4
"Washoe County, NV",US,40.5608,-119.6035,7,11,10,11,9,9,9,10,7,6,4,6,6,7,5,6,8,6,8,9,10,10,12,11,12,13,11,10,10,10,11,14,15,6,3,3,9,13,16,10,8,11,11,12,13,14,16,13,10,7,9,11,13,16,16,14,14,18,18,18,16,6,13,17,20,21,21,11,13,13
"Wayne County, PA",US,41.6739,-75.2479,3,1,7,5,6,0,3,2,0,-1,6,14,14,5,4,7,4,-5,-5,0,-5,-3,1,4,8,2,3,2,1,0,1,3,4,2,9,12,2,2,1,0,2,6,5,4,2,-7,0,4,5,3,1,-1,0,7,10,14,9,6,1,0,-4,3,15,12,8,9,5,4,14,19
"Yolo County, CA",US,38.7646,-121.9018,15,14,17,14,14,15,15,12,11,11,11,14,12,14,14,11,9,9,11,11,12,12,14,12,17,16,19,18,16,19,19,19,18,15,13,14,17,18,19,17,17,22,23,20,18,18,18,20,21,19,19,19,22,23,17,22,24,23,24,22,19,16,21,26,24,22,18,14,14,19
"Santa Clara County, CA",US,37.3541,-121.9552,17,14,16,18,15,14,16,14,14,13,15,14,13,13,13,12,10,13,12,13,14,14,16,16,19,19,16,15,16,16,16,20,20,13,13,13,17,20,20,15,17,22,23,21,16,17,19,16,22,21,20,21,20,19,15,21,24,25,26,25,16,15,22,24,26,20,18,13,16,19
,French Guiana,3.9339,-53.1258,28,29,30,29,29,30,30,27,29,28,29,31,29,26,25,27,29,28,29,31,29,29,31,31,32,28,27,26,27,29,30,27,30,30,30,31,30,30,28,28,28,29,28,29,28,31,28,28,29,30,28,29,31,29,28,27,29,32,30,30,32,31,32,30,28,32,32,30,32,32
,Malta,35.9375,14.3754,13,14,14,15,15,12,13,14,14,13,14,14,14,14,14,14,14,15,15,15,15,15,15,15,17,17,16,15,15,15,16,16,16,16,17,13,12,12,14,15,16,17,17,16,16,16,15,15,15,15,15,15,15,15,15,16,16,15,16,16,18,18,16,14,15,17,14,14,14,14
"Douglas County, CO",US,39.2587,-104.9389,6,10,5,7,12,8,5,12,13,6,0,8,5,6,11,9,7,10,7,7,11,12,10,6,11,11,12,7,6,4,6,10,16,18,-1,-8,-2,4,-1,9,-2,-1,3,-1,0,11,6,11,5,0,-4,4,11,14,3,3,-5,5,8,13,13,10,9,13,15,12,18,18,18,13
"Providence County, RI",US,41.8882,-71.4774,4,4,7,8,6,3,2,4,4,0,8,17,19,5,5,9,7,-3,-4,5,-1,-2,2,7,8,7,8,6,4,4,2,6,4,5,8,8,4,3,11,2,2,6,5,7,4,0,-1,6,8,4,6,1,0,8,12,15,13,10,9,3,1,1,12,16,11,11,9,7,12,21
,Martinique,14.6415,-61.0242,29,29,29,28,29,29,29,29,29,29,28,28,28,28,28,28,29,29,28,28,29,29,28,29,29,29,28,29,29,29,29,29,29,29,28,28,28,29,29,28,29,28,28,28,28,27,28,28,28,28,27,27,28,29,29,28,29,28,28,29,28,28,28,28,28,28,28,29,28,28
"Alameda County, CA",US,37.6017,-121.7195,14,14,15,15,12,12,13,13,10,9,12,11,9,10,10,9,11,10,9,8,10,14,14,13,17,16,13,12,14,15,15,18,18,11,9,9,15,16,18,13,13,18,19,17,14,14,17,14,19,16,17,17,19,18,13,20,20,22,22,23,12,11,18,21,23,18,16,11,12,15
"Broward County, FL",US,26.1901,-80.3659,27,27,28,29,30,21,23,25,24,25,25,28,27,28,27,27,27,25,24,28,23,19,16,24,25,25,24,25,25,27,23,27,24,19,23,26,27,29,23,24,25,27,29,29,30,29,26,26,29,28,29,29,24,23,24,26,29,30,20,19,21,23,25,28,31,33,28,22,23,24
"Lee County, FL",US,26.663,-81.9535,24,24,28,28,27,20,22,23,22,26,26,29,29,28,28,28,28,27,27,26,20,16,16,25,25,23,21,22,24,22,20,24,20,18,23,25,27,27,19,23,27,29,28,29,28,28,27,27,28,29,28,28,21,23,25,26,27,28,19,19,21,24,26,27,29,28,25,22,23,25
"Pinal County, AZ",US,32.8162,-111.2845,17,16,14,15,20,19,21,20,20,16,14,16,18,20,20,23,20,17,21,24,25,12,15,20,22,21,22,20,20,18,19,21,23,26,16,9,10,14,19,22,22,20,13,15,19,21,20,23,24,24,24,27,24,18,16,19,18,18,25,26,25,23,19,20,21,28,28,28,22,25
"Rockland County, NY",US,41.1489,-73.983,6,4,9,8,10,5,8,6,5,0,9,20,18,6,7,11,8,-1,-2,5,0,0,3,7,10,7,7,7,6,5,2,6,5,6,13,13,6,4,10,5,5,7,8,9,5,-1,0,7,11,6,7,3,2,11,13,17,12,9,6,5,2,6,16,15,13,12,8,8,16,23
"Saratoga County, NY",US,43.0324,-73.936,2,2,4,7,2,0,3,1,2,-4,2,15,14,3,5,6,5,-5,-7,2,-4,-3,0,0,3,2,3,4,2,2,0,2,3,3,5,6,3,0,0,-4,-2,4,2,3,3,-6,-4,3,2,2,0,-2,0,4,8,12,9,2,2,0,-4,1,11,14,7,7,8,6,12,21
"Charleston County, SC",US,32.7957,-79.7848,16,15,15,18,18,13,16,17,15,17,19,20,20,20,20,20,22,11,18,16,7,6,11,12,17,15,14,14,13,13,12,12,10,15,17,17,18,19,13,12,13,19,19,19,19,15,12,16,16,17,18,10,8,11,15,17,19,18,12,14,13,14,19,20,18,13,17,14,15,19
"Clark County, WA",US,45.7466,-122.5194,9,11,8,13,8,8,10,11,7,4,7,8,6,3,3,3,4,5,8,10,10,9,9,11,11,13,11,10,10,8,11,15,11,6,6,3,9,12,11,8,6,10,6,9,6,8,7,9,9,11,12,13,13,11,9,8,12,12,15,13,7,8,7,13,12,14,7,7,10,12
"Cobb County, GA",US,33.8999,-84.5641,12,13,8,15,12,11,15,13,14,17,18,21,18,17,17,21,16,12,9,8,2,4,9,8,12,7,10,10,14,11,14,5,9,17,23,19,19,19,4,6,12,11,20,21,16,10,12,9,12,15,11,6,8,13,14,8,18,12,8,10,12,18,11,20,13,10,13,14,17,19
"Davis County, UT",US,40.9629,-112.0953,0,3,4,5,5,2,4,6,4,3,0,2,1,2,4,2,6,3,3,2,2,5,4,6,4,5,5,4,5,3,2,4,7,8,-2,-2,-2,4,6,7,3,1,1,4,6,8,5,5,3,2,1,1,3,5,8,4,3,6,8,11,13,3,4,7,12,15,17,16,9,11
"El Paso County, CO",US,38.9108,-104.4723,6,10,5,7,12,4,5,11,12,5,0,5,4,7,11,3,0,9,1,6,10,9,10,5,10,11,10,8,5,3,6,10,17,20,-1,-8,-3,3,-3,5,-2,0,-2,0,-2,8,3,10,4,-2,-2,0,9,12,4,4,-4,5,7,13,13,12,9,11,15,10,17,18,18,14
"Honolulu County, HI",US,21.307,-157.8584,26,26,25,25,25,26,26,26,25,25,25,25,24,26,25,25,25,24,25,25,25,26,26,25,25,26,27,26,26,26,27,26,25,26,27,26,25,22,23,23,24,21,24,26,28,27,25,25,25,26,25,24,25,26,25,26,26,25,24,24,25,24,24,26,25,26,25,24,24,23
"Jackson County, OR ",US,42.3345,-122.7647,10,9,9,13,6,5,8,7,4,5,6,4,5,4,1,7,0,5,8,9,10,5,9,11,11,12,10,8,8,10,11,15,11,3,3,3,5,9,11,4,8,11,11,12,11,9,8,8,8,10,13,14,14,14,12,10,15,14,18,16,7,7,10,14,15,17,11,6,7,11
"Jefferson County, WA",US,47.7425,-123.304,2,0,0,2,-3,-3,2,0,-5,-3,0,-3,-4,-7,-9,-6,-5,-5,0,3,0,-1,0,2,-1,2,-1,0,0,1,2,4,0,-4,-4,-2,3,2,2,-2,2,3,2,2,0,-1,1,-3,-1,0,2,4,3,0,-2,0,2,0,5,2,-1,-2,3,2,0,0,-2,-3,-3,0
"Kershaw County, SC",US,34.3672,-80.5883,16,15,13,24,19,14,17,15,17,16,16,23,20,22,21,23,21,11,13,15,6,5,10,10,18,12,13,15,14,13,13,4,9,17,23,22,21,22,10,8,13,19,24,23,23,14,11,10,17,15,15,7,7,12,17,10,18,19,11,14,12,16,21,19,15,11,15,14,17,22
"Klamath County, OR",US,42.6953,-121.6142,5,4,5,8,2,0,4,4,0,1,2,0,1,1,-1,0,0,0,3,6,5,2,3,6,5,5,4,4,3,5,6,10,10,0,0,1,4,7,8,1,4,8,9,8,8,6,4,6,3,4,7,8,10,11,7,8,10,12,14,13,2,4,10,12,13,15,11,2,3,6
"Madera County, CA",US,37.2519,-119.6963,12,13,10,19,16,11,11,14,5,7,9,9,9,9,8,11,9,8,9,14,15,13,13,15,13,13,12,13,12,10,12,18,20,12,8,7,10,14,17,16,12,14,15,16,17,16,16,17,15,16,16,19,18,13,14,15,19,21,22,24,20,9,13,18,22,24,22,10,12,15
"Pierce County, WA",US,47.0676,-122.1295,10,9,6,13,6,5,8,11,3,2,5,5,4,2,0,4,4,4,9,12,11,9,8,11,10,12,10,10,10,8,10,13,10,6,3,3,8,9,9,6,7,7,6,8,5,7,6,6,8,8,10,12,11,8,7,6,10,9,14,11,6,8,7,10,10,13,6,6,7,10
"Tulsa County, OK",US,36.1593,-95.941,11,15,15,11,10,16,14,15,16,16,19,0,9,12,14,15,5,6,8,6,5,7,2,10,5,11,14,18,4,4,6,10,15,23,22,3,0,3,9,12,17,7,8,5,0,5,14,13,18,9,12,4,7,14,11,11,10,5,13,17,22,22,13,19,16,19,17,20,19,22
,Bulgaria,42.7339,25.4858,-1,-1,3,5,-2,-4,-4,-2,2,6,7,1,5,5,6,4,1,1,-1,-2,1,6,0,3,8,9,7,6,5,1,6,10,11,12,8,-1,-5,-1,-4,1,3,5,3,3,4,1,4,8,10,4,1,2,1,7,8,10,11,9,4,2,7,13,13,10,3,8,12,10,9,4
,Maldives,3.2028,73.2207,29,29,29,29,29,29,29,29,29,29,29,29,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,29,29,29,30,29,29,29,29,29,29,29,29,29,30,30,29,29,29,30,30,30,30
"Montgomery County, PA",US,40.229,-75.3879,7,4,9,9,12,5,9,6,4,0,11,19,17,8,6,11,8,0,0,4,0,1,4,8,11,8,8,7,6,6,3,7,6,5,15,16,5,5,13,5,8,7,9,8,7,0,0,9,11,14,9,3,2,10,14,17,8,11,4,5,1,7,17,14,13,12,6,8,15,22
,Bangladesh,23.685,90.3563,27,27,20,24,22,24,23,23,20,24,23,23,24,24,25,26,28,28,27,25,24,24,24,24,24,24,23,25,25,24,25,25,24,24,25,26,26,26,27,27,27,27,27,27,27,29,28,28,29,29,29,30,30,32,30,25,25,27,29,30,31,31,30,30,30,29,27,30,29,31
"Fairfax County, VA",US,38.9085,-77.2405,10,9,11,11,14,4,11,6,6,4,12,20,19,11,8,13,11,2,1,5,0,1,4,6,10,9,7,9,7,6,5,7,9,12,18,19,7,7,14,6,9,8,12,9,12,2,1,10,13,14,10,4,2,12,14,15,11,11,4,6,1,10,18,17,17,13,10,9,16,23
"Rockingham County, NH",US,42.9931,-71.0498,1,2,4,4,3,0,0,2,4,-3,7,16,18,-1,3,7,2,-8,-7,3,-3,-4,1,5,5,4,7,6,3,2,0,5,2,3,7,6,3,1,0,-3,-1,3,1,4,1,-6,-4,3,4,0,3,-1,-1,5,9,14,9,9,7,1,0,0,10,16,9,9,7,6,11,20
"Washington, D.C.",US,38.9072,-77.0369,12,10,11,11,14,5,12,7,7,4,11,21,19,11,9,14,12,3,1,6,1,2,4,6,10,10,9,9,8,7,6,8,10,12,19,18,8,7,15,7,9,8,13,10,13,3,2,11,12,14,11,5,3,12,14,15,12,11,6,8,2,10,18,17,17,13,10,11,16,23
,Paraguay,-23.4425,-58.4438,36,35,35,33,36,38,37,31,32,34,36,37,37,33,35,38,37,33,36,36,38,38,30,27,33,35,37,36,38,35,26,33,34,34,36,36,36,37,34,36,36,35,35,36,37,38,38,38,39,40,36,34,30,29,32,36,35,32,32,35,35,36,36,35,37,37,37,38,38,38
"Berkshire County, MA",US,42.3118,-73.1822,1,-1,4,5,3,-2,0,0,-1,-3,6,14,14,2,4,3,1,-9,-5,0,-7,-5,0,4,5,3,1,1,-1,-1,0,1,1,0,4,8,0,0,2,-4,0,3,3,2,1,-9,-3,1,0,1,-1,-5,-3,2,7,11,8,5,3,-1,-4,-1,11,12,5,5,5,1,9,17
"Davidson County, TN",US,36.1343,-86.822,9,10,11,14,6,12,11,11,14,16,19,21,10,12,15,20,9,6,13,2,-1,1,7,8,10,4,9,13,7,7,9,9,9,20,21,17,11,5,2,9,17,13,8,12,5,0,11,14,19,14,11,5,5,12,14,12,12,5,7,9,9,19,15,18,17,18,9,11,19,18
"Douglas County, OR",US,43.1261,-123.2492,11,8,9,13,6,4,8,7,4,4,7,4,4,3,1,7,2,5,9,12,11,6,9,12,11,11,10,8,8,10,13,16,9,3,3,4,5,9,10,4,6,7,9,9,8,6,6,8,7,6,12,13,13,11,6,8,14,12,14,12,6,6,8,13,13,14,9,6,8,11
"Fresno County, CA",US,36.9859,-119.2321,10,11,8,19,15,10,12,15,6,5,7,8,7,7,7,11,9,6,12,15,14,10,11,15,14,13,11,11,10,8,12,16,20,13,4,5,8,14,17,15,9,11,14,14,17,15,14,16,14,15,15,18,18,10,11,13,18,20,21,22,18,6,11,17,21,23,20,7,10,14
"Harford County, MD",US,39.5839,-76.3637,9,7,8,11,12,4,10,5,5,0,11,17,15,11,6,13,9,1,1,4,0,0,4,5,10,9,8,6,6,7,4,7,8,6,16,17,5,5,11,5,8,7,10,9,10,0,0,9,12,14,10,4,3,11,13,15,9,11,4,5,2,8,16,13,15,12,5,9,15,21
"Hendricks County, IN",US,39.8065,-86.5401,1,7,10,8,2,7,6,6,0,12,13,15,2,4,9,9,0,0,7,-9,-2,0,1,7,4,1,2,0,1,2,3,4,4,16,16,11,2,0,1,1,2,3,4,3,0,-8,4,7,8,5,3,-1,1,8,12,6,4,0,1,0,1,13,10,11,11,14,4,9,17,17
"Hudson County, NJ",US,40.7453,-74.0535,7,3,9,8,10,5,7,6,5,1,11,19,19,7,7,11,9,0,1,6,0,1,4,8,11,9,8,7,6,5,2,6,5,6,13,14,6,5,12,4,6,8,9,7,6,0,-1,7,10,8,9,2,2,10,13,15,10,8,5,4,1,7,14,13,13,11,7,9,15,22
"Johnson County, KS",US,38.8454,-94.8521,6,13,10,9,6,12,7,11,12,17,5,-6,0,8,8,9,-2,1,0,-5,-6,0,1,2,0,0,3,4,0,1,3,4,11,18,17,0,-2,2,3,6,11,6,7,1,-9,-3,5,11,15,6,6,0,5,12,16,6,6,3,9,12,17,17,12,16,15,15,13,19,20,15
"Kittitas County, WA",US,47.175,-120.9319,3,6,3,7,3,2,4,6,2,1,0,3,2,0,-2,-6,1,0,1,2,4,4,2,4,7,6,5,6,5,4,4,9,7,4,3,1,5,4,7,5,4,9,4,7,5,4,5,4,4,4,4,5,9,6,4,3,6,8,13,14,6,5,6,10,8,12,8,7,7,10
"Manatee County, FL",US,27.4799,-82.3452,21,23,28,29,26,19,21,22,20,26,27,29,29,29,28,28,27,26,27,25,18,14,15,24,25,22,21,22,22,24,20,24,19,18,23,25,27,28,17,22,26,29,29,29,29,27,26,27,28,30,28,28,15,22,25,26,28,27,17,18,19,24,26,28,30,29,24,21,24,26
"Marion County, OR",US,44.8446,-122.5927,10,7,7,12,4,3,6,8,3,2,5,2,3,0,0,6,1,3,7,11,10,6,7,11,8,11,7,7,6,7,10,13,8,3,2,3,6,8,7,4,5,7,7,7,5,5,4,6,6,8,11,11,11,10,5,5,10,9,13,10,4,5,6,10,9,12,5,4,6,9
"Okaloosa County, FL",US,30.5773,-86.6611,17,17,21,23,18,16,20,18,18,20,21,23,23,23,23,24,24,22,19,13,10,7,12,16,18,15,13,16,19,11,18,13,14,20,21,22,21,22,13,19,21,21,24,23,21,18,19,15,20,23,25,18,13,15,19,20,22,16,13,17,20,20,22,24,22,20,20,19,20,22
"Polk County, GA",US,34.0132,-85.1479,12,13,9,16,12,11,16,13,16,18,20,24,18,18,18,20,16,13,11,8,3,4,9,7,12,7,11,11,15,13,15,7,10,17,23,20,20,18,5,8,14,12,19,21,15,10,13,12,14,16,11,7,7,13,14,9,18,11,8,10,12,18,12,21,13,11,13,13,17,20
"Riverside County, CA",US,33.9533,-117.3961,20,19,22,23,21,22,23,25,18,15,19,17,16,16,17,20,16,16,21,25,18,14,18,25,25,25,15,24,24,21,25,27,30,25,15,14,17,19,22,23,14,21,21,20,23,23,22,23,25,25,23,28,28,16,18,25,27,27,29,30,23,15,20,27,25,29,26,19,19,24
"Shelby County, TN",US,35.1269,-89.9253,11,13,12,15,7,15,14,13,16,17,19,14,7,11,17,20,9,10,17,6,0,3,5,6,7,8,11,13,14,11,8,8,12,20,20,17,9,3,7,11,19,15,7,9,7,2,14,15,14,15,11,7,6,11,11,15,11,6,9,12,15,20,20,18,17,19,13,15,20,20
"St. Louis County, MO",US,38.6103,-90.4125,5,14,13,5,4,12,9,8,7,13,15,3,1,3,10,13,0,0,8,-5,-3,0,3,2,2,1,7,1,0,1,3,6,6,20,21,4,1,0,4,2,13,2,7,2,-4,-2,9,10,10,5,6,0,5,12,16,7,3,2,7,8,10,20,11,16,14,16,11,15,21,15
"Suffolk County, NY",US,40.9849,-72.6151,5,4,8,6,8,5,6,5,4,0,8,12,14,6,6,7,7,-2,2,6,-1,0,2,5,7,9,6,6,5,3,1,5,4,5,8,8,5,5,11,4,6,7,6,6,4,1,-1,5,6,6,6,1,0,6,8,9,7,7,7,4,1,4,9,9,9,8,6,6,9,13
"Ulster County, NY",US,41.8586,-74.3118,5,2,7,6,7,2,4,3,2,-1,7,16,16,5,4,8,4,-3,-5,2,-2,0,2,5,7,3,4,4,2,3,1,3,3,3,9,12,4,2,3,1,2,7,6,6,4,-5,-2,5,6,2,2,0,1,7,10,14,10,5,3,1,-1,4,13,13,10,10,6,6,14,20
"Volusia County, FL",US,29.028,-81.0755,19,20,26,28,25,16,19,21,18,23,25,27,28,27,26,28,27,23,24,24,16,12,14,20,24,21,19,21,18,20,19,24,17,18,23,24,27,29,19,20,23,26,29,28,30,20,22,26,25,28,26,26,12,18,22,25,27,26,16,17,19,21,24,28,30,31,23,16,21,23
Ontario,Canada,51.2538,-85.3232,-9,-12,-6,-9,-8,-11,-11,-9,-22,-13,-9,-19,-19,-16,-7,-17,-17,-16,-9,-13,-9,-4,-1,-9,-7,-3,-5,-5,-8,-8,-8,-3,0,-1,-3,-14,-5,-21,-22,-11,-8,-5,-4,-23,-21,-13,-4,-14,-8,-12,-17,-8,0,4,-3,-4,-9,-12,-14,-12,-6,0,-1,0,-6,-8,-4,2,-17,-10
Alberta,Canada,53.9333,-116.5765,1,-1,-6,-4,-1,0,-6,-8,-14,-16,-14,-20,-27,-29,-30,-29,-26,-25,-19,0,5,0,0,2,3,2,-1,1,-1,2,1,0,2,-6,-9,-2,0,-1,-2,-3,-1,0,0,-6,0,-8,0,-6,-15,-3,2,2,3,-1,-1,-2,0,2,4,2,-1,0,0,0,-1,1,-9,-11,-2,0
Quebec,Canada,52.9399,-73.5491,-5,-7,-8,-4,-13,-15,-16,-14,-13,-24,-10,-16,-23,-18,-17,-14,-24,-26,-22,-22,-18,-13,-4,-9,-13,-5,-2,-12,-14,-17,-13,-10,-8,-5,-4,-10,-19,-18,-23,-21,-12,-14,-5,-6,-26,-26,-10,-10,-19,-10,-21,-20,-6,-3,-10,-1,-9,-13,-9,-8,-7,-9,-4,-6,-7,-11,-13,-7,-21,-17
