Province/State,Country/Region,Lat,Long,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020,1/13/2020,1/14/2020,1/15/2020,1/16/2020,1/17/2020,1/18/2020,1/19/2020,1/20/2020,1/21/2020,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020
Shanghai,Mainland China,31.202,121.4491,11,12,10,9,13,20,19,7,7,9,7,8,10,8,8,7,7,8,9,11,13,10,10,9,8,9,7,9,9,8,10,12,13,12,12,11,7,8,10,13,16,12,18,16,17,14,6,9,10,12,16,19,18,16,21,25,12,13,15,13,11,12,13,12,11,13,17,16,13,13
Shanxi,Mainland China,37.5777,112.2922,3,5,7,7,0,4,1,2,3,2,0,1,0,-1,0,1,2,4,5,2,4,5,6,5,5,4,4,6,6,6,9,6,5,6,7,5,6,8,10,12,13,14,16,18,6,0,5,9,10,13,10,8,11,19,8,17,14,6,15,17,10,14,9,11,14,18,17,13,13,12
Sichuan,Mainland China,30.6171,102.7103,9,9,7,5,6,3,7,4,6,2,5,8,7,3,6,4,1,0,0,2,6,6,2,0,0,0,0,0,3,0,0,4,0,2,5,1,1,2,1,2,5,7,10,13,8,0,2,1,2,7,4,7,9,9,12,11,11,8,8,12,4,5,2,5,7,10,11,13,2,4
Tianjin,Mainland China,39.3054,117.323,0,2,5,7,4,3,3,5,4,5,0,2,0,1,2,2,3,4,5,5,6,8,9,4,6,5,6,7,7,7,9,6,3,4,1,-1,0,5,7,11,13,16,17,16,1,0,1,7,10,9,8,11,10,16,12,10,9,8,11,8,11,11,9,7,12,16,16,13,10,11
Tibet,Mainland China,31.6927,88.0924,-5,-6,-4,-7,-11,-4,-1,-3,-4,-8,-6,-1,3,0,0,0,-1,-3,-8,-8,-6,-6,-9,-12,-8,-6,-6,-5,-4,-6,-7,-6,-10,-9,-8,-9,-7,-6,-9,-10,-6,-3,0,3,2,0,2,0,-1,0,-2,0,-1,-2,-3,-1,-2,-5,-2,-2,0,-1,-3,-1,-1,0,1,0,0,1
Xinjiang,Mainland China,41.1129,85.2401,2,0,0,0,0,0,-1,0,0,0,0,-1,0,0,2,2,0,1,1,0,2,2,1,1,1,1,2,3,2,2,3,3,3,4,4,5,5,6,7,7,8,9,9,7,5,5,5,6,5,6,8,9,11,12,13,13,14,15,16,12,12,13,15,16,16,15,13,8,9,10
Yunnan,Mainland China,24.974,101.487,19,19,20,12,12,15,16,19,20,18,17,19,19,20,20,22,20,21,20,20,20,20,20,16,13,14,16,14,15,16,17,18,17,18,19,19,19,20,19,18,16,19,19,20,20,18,16,18,17,19,21,22,23,21,21,21,22,19,19,22,23,23,21,20,20,20,22,22,23,23
Zhejiang,Mainland China,29.1832,120.0934,11,13,12,10,17,21,21,10,9,7,7,8,9,8,4,6,6,7,8,10,13,17,11,8,6,6,6,7,8,9,10,12,13,10,7,12,6,7,9,12,15,16,19,16,20,15,7,9,11,15,17,18,17,20,24,25,13,16,21,19,10,12,11,8,13,15,17,16,17,14
,Thailand,15,101,33,33,35,34,34,35,36,36,36,37,36,36,35,36,36,36,36,36,36,35,36,37,36,37,35,35,35,35,35,33,33,34,36,36,35,36,35,37,37,35,34,36,37,37,37,37,38,35,33,34,36,35,35,36,36,38,38,37,37,35,36,35,36,37,33,34,36,38,39,40
,Japan,36,138,6,8,8,7,5,5,5,9,7,5,9,7,8,9,6,6,6,3,6,8,6,10,7,12,5,7,3,7,12,8,5,7,7,8,8,5,0,5,5,3,4,7,12,15,13,13,11,7,2,8,9,12,9,6,13,10,8,4,8,12,12,13,12,10,4,9,12,8,19,11
